title,title_en,source,url,published_at,language,section
Χρηματιστήριο: Κράτησε τις 2.700 μονάδες – Σε υψηλό 11 ετών η Eurobank,"Stock Exchange: Holds at 2,700 points – Eurobank at 11-year high",fortunegreece.com,https://www.fortunegreece.com/article/xrimatistirio-kratise-tis-2-700-monades-se-ipsilo-11-eton-i-eurobank/,2026-09-07T18:25:22.000000Z,el,Other
Συνταξιούχοι: 400 ευρώ τον Νοέμβριο και αυξήσεις στις συντάξεις από το 2027,Pensioners: 400 euros in November and pension increases from 2027,fortunegreece.com,https://www.fortunegreece.com/article/sintaxiouxoi-400-evro-ton-noemvrio-kai-afxiseis-stis-sintaxeis-apo-to-2027/,2026-09-07T18:22:21.000000Z,el,Other
Official Website of Reserve Bank of India,,rbi.org.in,https://www.rbi.org.in/scripts/BS_PressReleaseDisplay.aspx?prid=63539,2026-09-07T18:20:00.000000Z,en,Other
Post share buyback announcement,,english.mubasher.info,https://english.mubasher.info/news/4669237/Post-share-buyback-announcement,2026-09-07T18:19:09.000000Z,en,Earnings & Guidance
Sachin Tendulkar makes ₹70 crore property move in Lonavala; details of the deal here,,livemint.com,https://www.livemint.com/industry/real-estate/sachin-tendulkar-makes-70-crore-property-move-in-lonavala-details-of-the-deal-here-11788802862149.html,2026-09-07T18:17:55.000000Z,en,Other
Saudi Aramco: Νέο πλήγμα σε πετρελαϊκές εγκαταστάσεις στη Σαουδική Αραβία,Saudi Aramco: New blow to oil facilities in Saudi Arabia,fortunegreece.com,https://www.fortunegreece.com/article/saudi-aramco-neo-pligma-se-petrelaikes-egkatastaseis-sti-saoudiki-aravia/,2026-09-07T18:14:37.000000Z,el,Energy
Strait of Hormuz deal: Iran and Oman to set temporary safe route as tanker traffic falls amid war,,livemint.com,https://www.livemint.com/news/world/strait-of-hormuz-deal-iran-and-oman-to-set-temporary-safe-route-as-tanker-traffic-falls-amid-war-11788804289846.html,2026-09-07T18:14:31.000000Z,en,Geopolitics
طلبات تشتري مليون سهم من أسهمها,Talabat buys 1 million shares of its own stock,argaam.com,https://www.argaam.com/ar/article/articledetail/id/1934756,2026-09-07T18:14:00.000000Z,ar,Other
株主優待と高配当株を買い続ける株式投資ブログ,Stock investment blog that continues to buy shareholder perks and high-dividend stocks,kibinago7777.blogspot.com,https://kibinago7777.blogspot.com/feeds/3499357645275162660/comments/default,2026-09-07T18:11:28.000000Z,ja,Earnings & Guidance
"""Il Provinciale"" visita la Sicilia occidentale","""Il Provinciale"" visits western Sicily",rai.it,https://www.rai.it/ufficiostampa/assets/template/us-articolo.html?ssiPath=/articoli/2026/09/Il-Provinciale-visita-la-Sicilia-occidentale-99524fe5-c110-4e41-bc99-b06b2dad8cc7-ssi.html,2026-09-07T18:10:00.000000Z,it,Other
金銀小甲蟲-談金論銀,Gold and Silver Beetle: Talking Gold and Silver,honsonyip.blogspot.com,http://honsonyip.blogspot.com/feeds/6898376554318102532/comments/default,2026-09-07T18:07:02.000000Z,zh,Other
Cын Байдена выпустит названный в честь своего ноутбука мемкойн,Biden's son to launch meme coin named after his laptop,kommersant.ru,https://www.kommersant.ru/doc/8938503,2026-09-07T18:03:29.000000Z,ru,Other
Tukaram Mundhe clarifies his new order - Maharashtra FDA chief explains his food safety directive,,livemint.com,https://www.livemint.com/news/india/tukaram-mundhe-clarifies-his-new-order-maharashtra-fda-chief-explains-his-food-safety-directive-11788803677268.html,2026-09-07T18:01:14.000000Z,en,Other
Flex for Good: The Rent Rails that Became Emergency Aid Rails,,thefintechtimes.com,https://thefintechtimes.com/flex-for-good-the-rent-rails-that-became-emergency-aid-rails/,2026-09-07T18:00:43.000000Z,en,Other
Only 20 of 320 active fund managers have 10+ years of experience: Why investors should look beyond past returns,,livemint.com,https://www.livemint.com/money/personal-finance/only-20-of-320-active-fund-managers-have-10-years-of-experience-why-investors-should-look-beyond-past-returns-11788799689124.html,2026-09-07T17:59:08.000000Z,en,Other
Μεγάλη κινητοποίηση για τη φωτιά στην Εύβοια – Μήνυμα του 112 για εκκένωση,Major mobilization for the fire in Evia – 112 message for evacuation,fortunegreece.com,https://www.fortunegreece.com/article/megali-kinitopoiisi-gia-ti-fotia-stin-evvoia-minima-tou-112-gia-ekkenosi/,2026-09-07T17:58:23.000000Z,el,Other
Fidelity Multi-Asset Income Fund Q2 2026 Commentary,,seekingalpha.com,https://seekingalpha.com/article/4943593-fidelity-multi-asset-income-fund-q2-2026-commentary,2026-09-07T17:58:00.000000Z,en,Other
McRae Industries (MCRAB) Maintains Quarterly Dividend Amid Uncertain Valuation Landscape,,gurufocus.com,https://www.gurufocus.com/news/9069745/mcrae-industries-mcrab-maintains-quarterly-dividend-amid-uncertain-valuation-landscape,2026-09-07T17:56:01.000000Z,en,Earnings & Guidance
TSI Looks 39.2% Overvalued on GF Value™,,gurufocus.com,https://www.gurufocus.com/news/9069744/tsi-looks-392-overvalued-on-gf-value,2026-09-07T17:55:31.000000Z,en,Other
