title,title_en,source,url,published_at,language,section
Πώς το EU AI Act γίνεται ανταγωνιστικό πλεονέκτημα για τους ξενοδόχους,,fortunegreece.com,https://www.fortunegreece.com/article/pos-to-eu-ai-act-ginetai-antagonistiko-pleonektima-gia-tous-xenodoxous/,2026-08-15T14:00:02.000000Z,el,AI & Technology
女子のペレスらが世界記録 競歩、ハーフとマラソンで,,this.kiji.is,https://news.jp/i/1461342418678711021,2026-08-15T13:57:52.000000Z,ja,Other
インドネシア地震、死者47人に,,this.kiji.is,https://news.jp/i/1461353741844201950,2026-08-15T13:57:52.000000Z,ja,Other
8th pay commission: Full recommendations to come in May 2027? Here's how the timeline works,,livemint.com,https://www.livemint.com/money/personal-finance/8th-pay-commission-cpc-full-recommendations-in-may-2027-how-timeline-meetings-da-hike-expect-salary-structure-allowances-11786800330844.html,2026-08-15T13:48:06.000000Z,en,Other
AIIMS Delhi debarres two suppliers over defective medical equipment,,thehindubusinessline.com,https://www.thehindubusinessline.com/news/aiims-delhi-debarres-two-medical-suppliers-over-defective-syringes-suction-sets/article71349604.ece,2026-08-15T13:45:00.000000Z,en,Other
Цeны зoлoтa в Mocквe,,smart-lab.ru,https://smart-lab.ru/blog/1340484.php,2026-08-15T13:44:06.000000Z,ru,Other
Nvidia’s Secret $21 Billion SpaceX Windfall — How One Chip Deal Turned Into a Rocket Fortune,,finance.yahoo.com,https://finance.yahoo.com/markets/stocks/articles/nvidia-secret-21-billion-spacex-134148201.html,2026-08-15T13:41:48.000000Z,en,Semiconductors
TDAQ: This 13% Yield Has Cost Less Upside Than I Expected (BATS:TDAQ),,seekingalpha.com,https://seekingalpha.com/article/4937050-tdaq-this-13-percent-yield-has-cost-less-upside-than-i-expected,2026-08-15T13:37:45.000000Z,en,Rates & Central Banks
I bought my first investment property while still in college. Now I'm 24 and own 30 homes as a full-time landlord.,,businessinsider.com,https://www.businessinsider.com/i-own-30-homes-at-24-full-time-landlord-2026-8,2026-08-15T13:36:19.000000Z,en,Other
Prediction: Nvidia Stock Will Hit $300 Before 2026 Is Over,,finance.yahoo.com,https://finance.yahoo.com/markets/stocks/articles/prediction-nvidia-stock-hit-300-133500308.html,2026-08-15T13:35:00.000000Z,en,Semiconductors
"Belrise Industries eyes expansion after ₹1,700-crore QIP, Hyva deal; Q1 PAT rises 9%",,thehindubusinessline.com,https://www.thehindubusinessline.com/companies/belrise-industries-eyes-expansion-after-1700-crore-qip-hyva-deal-q1-pat-rises-9/article71347216.ece,2026-08-15T13:34:25.000000Z,en,Other
Συνεντεύξεις για δουλειά στις 2 τα ξημερώματα – Η AI αλλάζει το παιχνίδι,,fortunegreece.com,https://www.fortunegreece.com/article/sinentefxeis-gia-douleia-stis-2-ta-ximeromata-i-ai-allazei-to-paixnidi/,2026-08-15T13:33:59.000000Z,el,AI & Technology
Anish Shah-led Mahindra renews global push after cutting losses,,livemint.com,https://www.livemint.com/companies/mahindra-and-mahindra-anish-shah-scorpio-lifestyler-bolero-pikup-hyundai-11786798770480.html,2026-08-15T13:33:03.000000Z,en,Other
"Влиятельная супруга генерального директора Anthropic предлагала уже осужденному Эпштейну создать компанию по производству «люксового порно», а Claude об этом не знает",,smart-lab.ru,https://smart-lab.ru/blog/1340482.php,2026-08-15T13:33:02.000000Z,ru,AI & Technology
"Why We’re Betting $10,000 on This Supplier Behind the SpaceX Data Center Boom",,finance.yahoo.com,https://finance.yahoo.com/markets/stocks/articles/why-betting-10-000-supplier-133134101.html,2026-08-15T13:31:34.000000Z,en,Other
"AppLovin's Falling Knife, Adtech Thesis Explored - Contrarian Buy (NASDAQ:APP)",,seekingalpha.com,https://seekingalpha.com/article/4937033-applovins-falling-knife-adtech-thesis-explored-contrarian-buy,2026-08-15T13:30:38.000000Z,en,Other
Earnings Scoreboard:9 of 10 reporting firms top EPS targets and Y/Y,,seekingalpha.com,https://seekingalpha.com/news/4633029-earnings-scoreboard-9-of-10-key-sp-500-reporting-firms-top-eps-estimates-and-deliver-yy-growth,2026-08-15T13:30:12.000000Z,en,Earnings & Guidance
Rambus Stock Has Been on a Wild Ride. Here’s What Happens Next,,finance.yahoo.com,https://finance.yahoo.com/markets/stocks/articles/rambus-stock-wild-ride-happens-133004700.html,2026-08-15T13:30:04.000000Z,en,Other
Mutual Funds returns,,thehindubusinessline.com,https://www.thehindubusinessline.com/portfolio/mutual-funds/mutual-funds-returns/article71349758.ece,2026-08-15T13:30:03.000000Z,en,Other
"If Iran Wins The Strait Of Hormuz, The U.S. Economy Stays Steady",,seekingalpha.com,https://seekingalpha.com/article/4936876-if-iran-wins-strait-of-hormuz-us-economy-stays-steady,2026-08-15T13:30:00.000000Z,en,Geopolitics
Citi Sees Growing Short-Squeeze Risk as U.S. Market Positioning Improves,,finance.yahoo.com,https://finance.yahoo.com/markets/stocks/articles/citi-sees-growing-short-squeeze-133000830.html,2026-08-15T13:30:00.000000Z,en,Other
Анализ рынка на неделю 17-21 августа. Падение рынка продолжится или будет шорт-сквиз? Куда упадем?,,smart-lab.ru,https://smart-lab.ru/blog/1340481.php,2026-08-15T13:29:19.000000Z,ru,Other
Tata Trusts’ governance dispute raises concerns ahead of Tata Sons’ AGM,,thehindubusinessline.com,https://www.thehindubusinessline.com/blexplainer/tata-trusts-governance-dispute-raises-concerns-ahead-of-tata-sons-agm/article71349636.ece,2026-08-15T13:28:49.000000Z,en,Other
Sonny’s BBQ: FREE Pork Big Deal for Teachers on August 20th!,,moneysavingmom.com,https://moneysavingmom.com/sonnys-bbq-free-pork-meal-for-teachers/,2026-08-15T13:26:00.000000Z,en,Other
"Fed Chair Kevin Warsh Is Reshaping the Central Bank, but the Unintended Consequences of His Actions Can Derail Wall Street",,finance.yahoo.com,https://finance.yahoo.com/economy/policy/articles/fed-chair-kevin-warsh-reshaping-132600878.html,2026-08-15T13:26:00.000000Z,en,Macro & Policy
Indian textile makers face rising labour and raw material costs in FY27,,thehindubusinessline.com,https://www.thehindubusinessline.com/economy/indian-textile-makers-face-margin-pressure-from-higher-wages-and-raw-material-costs/article71349517.ece,2026-08-15T13:25:23.000000Z,en,Other
"CBRE: A Diversified Real Estate Brand Worth Holding, As Q2 Saw Meaningful Growth (CBRE)",,seekingalpha.com,https://seekingalpha.com/article/4937048-cbre-a-diversified-real-estate-brand-worth-holding-as-q2-saw-meaningful-growth,2026-08-15T13:25:13.000000Z,en,Other
первый актив в портфель InvestTeam!,,smart-lab.ru,https://smart-lab.ru/blog/1340480.php,2026-08-15T13:22:17.000000Z,ru,Other
FDL: Dividend ETF That Keeps Buying The Losing Sector (NYSEARCA:FDL),,seekingalpha.com,https://seekingalpha.com/article/4937047-fdl-dividend-etf-that-keeps-buying-the-losing-sector,2026-08-15T13:21:51.000000Z,en,Earnings & Guidance
"In 1900, an Alaskan woman was left alone with 500 reindeer after husband's death. For many years, she fought to keep the herd and became one of Alaska's richest businesswoman",,economictimes.indiatimes.com,https://economictimes.indiatimes.com/magazines/panache/in-1900-an-alaskan-woman-was-left-alone-with-500-reindeer-after-husbands-death-for-many-years-she-fought-to-keep-the-herd-and-became-one-of-alaskas-richest-businesswoman/articleshow/133263131.cms,2026-08-15T13:21:51.000000Z,en,Other
Налоговые вычеты в Беларуси 2026: сколько можно сэкономить,,myfin.by,https://myfin.by/article/money/nalogovye-vycety-v-belarusi-2026-skolko-mozno-sekonomit-47720,2026-08-15T13:21:05.000000Z,ru,Other
Naturalizer Canada Sale: Save 15% off Full Price Styles + 25% off Sale Styles with Promo Code - Hot Canada Deals,,hotcanadadeals.ca,https://hotcanadadeals.ca/naturalizer-canada-sale-save-15-off-full-price-styles-25-off-sale-styles-with-promo-code/,2026-08-15T13:20:44.000000Z,en,Other
"ТОП-10 интересных фактов о Норникель, которые вы, скорее всего, не знали",,smart-lab.ru,https://smart-lab.ru/blog/1340479.php,2026-08-15T13:20:40.000000Z,ru,Other
"Depleted strategic oil reserve nears level that raises concerns about damage to caverns, operations",,cnbc.com,https://www.cnbc.com/2026/08/15/strategic-petroleum-reserve-spr-oil-iran-war-caverns.html,2026-08-15T13:20:37.000000Z,en,Energy
"Insider Sale Alert: Triumph Financial EVP Nelson Sells 3,750 Shares",,finance.yahoo.com,https://finance.yahoo.com/markets/stocks/articles/insider-sale-alert-triumph-financial-132001369.html,2026-08-15T13:20:01.000000Z,en,Other
South Korean billionaire fights record $668M divorce payout to ex-wife,,e.vnexpress.net,https://e.vnexpress.net/news/news/south-korean-billionaire-fights-record-668m-divorce-payout-to-ex-wife-5109555.html,2026-08-15T13:19:50.000000Z,en,Other
Trump to declare the Strait of Hormuz a U.S. territory (XLE),,seekingalpha.com,https://seekingalpha.com/news/4633583-trump-declare-the-strait-hormuz-us-territor,2026-08-15T13:18:59.000000Z,en,Geopolitics
"Retirees Can Move $210,000 From an IRA Into a QLAC and Delay RMDs on That Money Until 85. Almost Nobody Has Heard of It.",,finance.yahoo.com,https://finance.yahoo.com/markets/options/articles/retirees-move-210-000-ira-131606502.html,2026-08-15T13:16:06.000000Z,en,Other
Two 7%+ Picks Built To Write Retirement Paychecks,,seekingalpha.com,https://seekingalpha.com/article/4936893-two-7-percent-plus-picks-built-to-write-retirement-paychecks,2026-08-15T13:15:00.000000Z,en,Other
Southeast Asia's biggest economy to close more than 750 state-owned enterprises,,e.vnexpress.net,https://e.vnexpress.net/news/news/southeast-asia-s-biggest-economy-to-close-more-than-750-state-owned-enterprises-5109235.html,2026-08-15T13:13:27.000000Z,en,Other
We moved abroad when our kids were 5 and 7. Keeping them close to their grandparents became a priority.,,businessinsider.com,https://www.businessinsider.com/moved-abroad-kids-grandparents-long-distance-2026-8,2026-08-15T13:10:01.000000Z,en,Other
The summer of smoke — Greater Fool – Authored by Garth Turner – The Troubled Future of Real Estate,,greaterfool.ca,https://www.greaterfool.ca/2026/08/15/the-summer-of-smoke/,2026-08-15T13:09:56.000000Z,en,Other
스트리밍 음원을 소장형 IP로…뮤직카우가 지효X센시아 협업곡을 실물 앨범으로 만든다,,venturesquare.net,https://www.venturesquare.net/1106377/,2026-08-15T13:07:10.000000Z,ko,Other
해외 진단 매출 69% 차지…쓰리빌리언이 영업손실률을 31%포인트 낮췄다,,venturesquare.net,https://www.venturesquare.net/1106382/,2026-08-15T13:07:10.000000Z,ko,Other
제품 인증만 챙겼다면 늦었다…EU 수출 스타트업의 새 복병 ‘PPWR’,,venturesquare.net,https://www.venturesquare.net/1106373/,2026-08-15T13:07:09.000000Z,ko,Other
FCNR deposits explained: Can they help stabilise the rupee?,,thehindubusinessline.com,https://www.thehindubusinessline.com/multimedia/video/fcnr-deposits-explained-can-they-help-stabilise-the-rupee/article71349609.ece,2026-08-15T13:05:45.000000Z,en,Other
Látszatintézkedéssel takargatják a bajt? Rákkeltő anyagok szivárognak a Dunába Budapesten,,portfolio.hu,https://www.portfolio.hu/gazdasag/20260815/latszatintezkedessel-takargatjak-a-bajt-rakkelto-anyagok-szivarognak-a-dunaba-budapesten-856498,2026-08-15T13:04:00.000000Z,hu,Other
"Crude oil, rupee & FPI outflows: Why experts say India is still resilient",,thehindubusinessline.com,https://www.thehindubusinessline.com/multimedia/video/crude-oil-rupee-amp-fpi-outflows-why-experts-say-india-is-still-resilient/article71349558.ece,2026-08-15T13:03:43.000000Z,en,Energy
AI στην εργασία: Πώς να προστατεύσετε την καριέρα σας από την «αλγοριθμική μετριότητα»,,fortunegreece.com,https://www.fortunegreece.com/article/ai-stin-ergasia-pos-na-prostatefsete-tin-kariera-sas-apo-tin-algorithmiki-metriotita/,2026-08-15T13:03:42.000000Z,el,AI & Technology
AppLovin: One Of The Most Impressive Businesses I Have Ever Seen (NASDAQ:APP),,seekingalpha.com,https://seekingalpha.com/article/4937046-applovin-one-of-the-most-impressive-businesses-i-have-ever-seen,2026-08-15T13:01:30.000000Z,en,Other
Arizona Gold & Silver reports strong Perry Zone results – ICYMI,,finance.yahoo.com,https://finance.yahoo.com/markets/commodities/articles/arizona-gold-silver-reports-strong-130100815.html,2026-08-15T13:01:00.000000Z,en,Other
Более 330 рублей к пенсии: кому в Беларуси положена такая прибавка,,myfin.by,https://myfin.by/article/money/bolee-330-rublej-k-pensii-komu-v-belarusi-polozena-takaa-pribavka-47717,2026-08-15T13:00:34.000000Z,ru,Other
Workday could be acquired by private equity. Should it though? (WDAY:NASDAQ),,seekingalpha.com,https://seekingalpha.com/news/4633440-workday-could-be-acquired-by-private-equity-should-it-though,2026-08-15T13:00:30.000000Z,en,Other
Cineplex Family Favourite Movies for August: See a Great Family Movie for only $3.99 - Hot Canada Deals,,hotcanadadeals.ca,https://hotcanadadeals.ca/cineplex-family-favourite-movies-for-august-see-a-great-family-movie-for-only-3-99-3/,2026-08-15T13:00:19.000000Z,en,Other
Cannabis reform is emerging as midterms elections issue,,cnbc.com,https://www.cnbc.com/2026/08/15/cannabis-marijuana-legalization-midterm-elections.html,2026-08-15T13:00:01.000000Z,en,Other
"""Passaggio a nord ovest""",,rai.it,https://www.rai.it/ufficiostampa/assets/template/us-articolo.html?ssiPath=/articoli/2026/08/Passaggio-a-nord-ovest-87509d25-1599-4537-84c4-13c1d8e657ad-ssi.html,2026-08-15T13:00:00.000000Z,it,Other
ETFs On The Cutline – Updated Through 08/14/2026,,theetfbully.com,https://theetfbully.com/2026/08/etfs-on-the-cutline-updated-through-08-14-2026/,2026-08-15T13:00:00.000000Z,en,Other
"Lángol a világ, tombol a kiberháború: tökéletes vihar küszöbén a biztosítók",,portfolio.hu,https://www.portfolio.hu/uzlet/20260815/langol-a-vilag-tombol-a-kiberhaboru-tokeletes-vihar-kuszoben-a-biztositok-856290,2026-08-15T13:00:00.000000Z,hu,Other
ON THIS DAY: Spelman College Added Nursing To Its Academic Program,,blackenterprise.com,https://www.blackenterprise.com/on-this-day-spelman-college-nursing/,2026-08-15T13:00:00.000000Z,en,Other
Two Spacecraft Are Creating Fake 5-Hour Solar Eclipses—And Revealing A Faster Solar Wind,,forbes.com,https://www.forbes.com/sites/jamiecartereurope/2026/08/15/two-spacecraft-are-creating-fake-5-hour-solar-eclipses-and-revealing-a-faster-solar-wind/,2026-08-15T13:00:00.000000Z,en,Energy
Waiting For The August 18 Fed Print (SP500),,seekingalpha.com,https://seekingalpha.com/article/4936808-waiting-for-the-august-18-fed-print,2026-08-15T13:00:00.000000Z,en,Macro & Policy
The AI Platforms Are Real. The People Who Built Them Are Leaving.,,finance.yahoo.com,https://finance.yahoo.com/technology/ai/articles/ai-platforms-real-people-built-130000336.html,2026-08-15T13:00:00.000000Z,en,AI & Technology
The 5 Biggest Risks Americans Don’t Think About Behind the Data Center Boom,,finance.yahoo.com,https://finance.yahoo.com/technology/articles/5-biggest-risks-americans-don-130000152.html,2026-08-15T13:00:00.000000Z,en,Other
Alphabet: The CapEx 'Tantrum' Feels Wrong (NASDAQ:GOOG),,seekingalpha.com,https://seekingalpha.com/article/4936818-alphabet-the-capex-tantrum-feels-wrong,2026-08-15T13:00:00.000000Z,en,Other
"Texas waitress spent seven years quietly serving her worst customer, who was rude, never left a tip. After his death, she got a surprise worth $50,000",,economictimes.indiatimes.com,https://economictimes.indiatimes.com/magazines/panache/texas-waitress-spent-seven-years-quietly-serving-her-worst-customer-who-was-rude-never-left-a-tip-after-his-death-she-got-a-surprise-worth-50000/articleshow/133262721.cms,2026-08-15T12:56:38.000000Z,en,Other
Viaggi nelle terre del Nord,,rai.it,https://www.rai.it/ufficiostampa/assets/template/us-articolo.html?ssiPath=/articoli/2026/08/Viaggi-nelle-terre-del-Nord--e5c9c3f2-9f90-49b0-bd83-ed20ae40ccad-ssi.html,2026-08-15T12:55:00.000000Z,it,Other
今彩539第115198期開獎,,money.udn.com,https://money.udn.com/money/story/5612/9693805,2026-08-15T12:54:34.000000Z,zh,Other
"Bengaluru traffic leaves founder frustrated as 3-km trip takes 1.5 hours, leaves car and walks back: “how are businesses supposed to operate like this?”",,economictimes.indiatimes.com,https://economictimes.indiatimes.com/news/new-updates/bengaluru-traffic-leaves-founder-frustrated-as-3-km-trip-takes-1-5-hours-leaves-car-and-walks-back-how-are-businesses-supposed-to-operate-like-this/articleshow/133262936.cms,2026-08-15T12:53:24.000000Z,en,Other
"""Win is definitely on our mind"": Australia's Hazlewood defiant despite all odds vs Bangladesh at Darwin",,economictimes.indiatimes.com,https://economictimes.indiatimes.com/news/sports/cricket/win-is-definitely-on-our-mind-australias-hazlewood-defiant-despite-all-odds-vs-bangladesh-at-darwin/articleshow/133263078.cms,2026-08-15T12:53:09.000000Z,en,Other
DARPA wants to help injured brains rewire themselves after injury,,businessinsider.com,https://www.businessinsider.com/darpa-wants-to-help-injured-brains-rewire-themselves-after-injury-2026-8,2026-08-15T12:51:08.000000Z,en,Other
Öt év pokol: évfordulót ünnepelnek a világ legsötétebb diktatúrájában,,portfolio.hu,https://www.portfolio.hu/global/20260815/ot-ev-pokol-evfordulot-unnepelnek-a-vilag-legsotetebb-diktaturajaban-856496,2026-08-15T12:51:00.000000Z,hu,Other
